start_frame,end_frame,label,time_s
422,422,beyond the edge,0
424,437,beyond the edge,0.19
528,540,beyond the edge,0.18
934,935,beyond the edge,0.01
1947,1949,beyond the edge,0.03
1994,2322,beyond the edge,4.77
5940,5963,beyond the edge,0.34
7416,7428,beyond the edge,0.18
7754,7861,beyond the edge,1.47
7863,7863,beyond the edge,0
7871,7963,beyond the edge,1.27
8963,9029,beyond the edge,0.94
9916,9937,beyond the edge,0.28
9946,10089,beyond the edge,2.03
10127,10163,beyond the edge,0.48
10342,10427,beyond the edge,1.23
10466,10508,beyond the edge,0.55
10526,10561,beyond the edge,0.49
10590,10590,beyond the edge,0
11835,11838,beyond the edge,0.04
11840,11842,beyond the edge,0.03
11992,12257,beyond the edge,3.68
14422,14487,beyond the edge,0.92
14540,14593,beyond the edge,0.74
14997,15014,beyond the edge,0.24
15024,15032,beyond the edge,0.11
15048,15062,beyond the edge,0.2
16394,16535,beyond the edge,1.99
19097,19248,beyond the edge,2.21
20022,20122,beyond the edge,1.4
20374,20449,beyond the edge,1.06
23511,23546,beyond the edge,0.47
23550,23550,beyond the edge,0
23612,23660,beyond the edge,0.69
31693,31758,beyond the edge,0.96
31761,31761,beyond the edge,0
31771,31837,beyond the edge,0.95
31843,31913,beyond the edge,1.01
32058,32092,beyond the edge,0.5
32142,32142,beyond the edge,0
35847,35898,beyond the edge,0.75
38245,38351,beyond the edge,1.53
38456,38533,beyond the edge,1.12
